,Enderecos,urls
0,"Malik Planejados - Loja de Móveis Planejados em Osasco
4,0
(50) · Loja de móveis
Osasco - SP · (11) 3682-6260
Fechado ⋅ Abre às 09:00
Compras na loja·
Retirada na loja·
Entrega","https://www.google.com/search?q=marcenarias+s%C3%A3o+paulo&biw=1536&bih=688&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:14&tbm=lcl&ei=8Yb0Y_y5MrjL1sQPkt2v0Ak&start=20&sa=N&rlst=f&ved=2ahUKEwi89t2An6b9AhW4pZUCHZLuC5oQ8tMDegQIBRAM"
1,"Mia Casa Móveis Planejados
5,0
(35) · Marceneiro
São Paulo - SP · (11) 93226-5560
Fechado ⋅ Abre às 09:00","https://www.google.com/search?q=marcenarias+s%C3%A3o+paulo&biw=1536&bih=688&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:14&tbm=lcl&ei=8Yb0Y_y5MrjL1sQPkt2v0Ak&start=20&sa=N&rlst=f&ved=2ahUKEwi89t2An6b9AhW4pZUCHZLuC5oQ8tMDegQIBRAM"
2,"Marcenaria Arte em Madeira
4,9
(90) · Marceneiro
Mais de 25 anos no mercado · salao cima -Portão preto, Rua João de Souto Maior, 156 - C2 · (11) 95419-8543
Fechado ⋅ Abre às 08:00
Serviços no local·
Estimativas on-line","https://www.google.com/search?q=marcenarias+s%C3%A3o+paulo&biw=1536&bih=688&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:14&tbm=lcl&ei=8Yb0Y_y5MrjL1sQPkt2v0Ak&start=20&sa=N&rlst=f&ved=2ahUKEwi89t2An6b9AhW4pZUCHZLuC5oQ8tMDegQIBRAM"
3,"Marcenaria Felix
4,5
(13) · Marceneiro
Mais de 35 anos no mercado · R. Adelino da Fontoura, 51 · (11) 5563-3510
Fechado ⋅ Abre às 08:00","https://www.google.com/search?q=marcenarias+s%C3%A3o+paulo&biw=1536&bih=688&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:14&tbm=lcl&ei=8Yb0Y_y5MrjL1sQPkt2v0Ak&start=20&sa=N&rlst=f&ved=2ahUKEwi89t2An6b9AhW4pZUCHZLuC5oQ8tMDegQIBRAM"
4,"Art In Wood - Marcenaria
4,5
(17) · Carpintaria
Mais de 7 anos no mercado · R. Barra Funda, 957 · (11) 3582-4649
Fechado ⋅ Abre às 07:00
Serviços no local·
Estimativas on-line","https://www.google.com/search?q=marcenarias+s%C3%A3o+paulo&biw=1536&bih=688&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:14&tbm=lcl&ei=8Yb0Y_y5MrjL1sQPkt2v0Ak&start=20&sa=N&rlst=f&ved=2ahUKEwi89t2An6b9AhW4pZUCHZLuC5oQ8tMDegQIBRAM"
5,"Marcenaria Carmo
3,5
(29) · Carpintaria
Mais de 7 anos no mercado · Av. Lins de Vasconcelos, 2323 · (11) 2215-5392
Fechado ⋅ Abre às 08:00
Serviços no local","https://www.google.com/search?q=marcenarias+s%C3%A3o+paulo&biw=1536&bih=688&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:14&tbm=lcl&ei=8Yb0Y_y5MrjL1sQPkt2v0Ak&start=20&sa=N&rlst=f&ved=2ahUKEwi89t2An6b9AhW4pZUCHZLuC5oQ8tMDegQIBRAM"
6,"Marceneiro
4,5
(17) · Marceneiro
Mais de 25 anos no mercado · Rua Gabriele D'Annunzio, 487 · (11) 95821-0938
Fechado ⋅ Abre às 08:00
""Com certeza umas das melhores marcenarias de São Paulo, não ...""","https://www.google.com/search?q=marcenarias+s%C3%A3o+paulo&biw=1536&bih=688&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:14&tbm=lcl&ei=8Yb0Y_y5MrjL1sQPkt2v0Ak&start=20&sa=N&rlst=f&ved=2ahUKEwi89t2An6b9AhW4pZUCHZLuC5oQ8tMDegQIBRAM"
7,"Ruiz Marcenaria
4,6
(11) · Marceneiro
Mais de 10 anos no mercado · R. Barretos, 60 · (11) 2384-5340
Fechado ⋅ Abre às 08:00
""Além de marcenaria ele faz umas coisas em serralheria.""","https://www.google.com/search?q=marcenarias+s%C3%A3o+paulo&biw=1536&bih=688&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:14&tbm=lcl&ei=8Yb0Y_y5MrjL1sQPkt2v0Ak&start=20&sa=N&rlst=f&ved=2ahUKEwi89t2An6b9AhW4pZUCHZLuC5oQ8tMDegQIBRAM"
8,"MARCENARIA SÃO JUDAS TADEU
5,0
(6) · Carpintaria
Mais de 10 anos no mercado · Estr. do Alvarenga, 3211 A · (11) 98529-6980
Fechado ⋅ Abre às 09:00","https://www.google.com/search?q=marcenarias+s%C3%A3o+paulo&biw=1536&bih=688&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:14&tbm=lcl&ei=8Yb0Y_y5MrjL1sQPkt2v0Ak&start=20&sa=N&rlst=f&ved=2ahUKEwi89t2An6b9AhW4pZUCHZLuC5oQ8tMDegQIBRAM"
9,"Marcenaria São Paulo
5,0
(3) · Moveleiro
Mais de 10 anos no mercado · R. do Lavapés, 508 · (11) 3271-1922
Fechado ⋅ Abre às 07:15","https://www.google.com/search?q=marcenarias+s%C3%A3o+paulo&biw=1536&bih=688&tbs=lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:14&tbm=lcl&ei=8Yb0Y_y5MrjL1sQPkt2v0Ak&start=20&sa=N&rlst=f&ved=2ahUKEwi89t2An6b9AhW4pZUCHZLuC5oQ8tMDegQIBRAM"
